Source,Destination,lat1,lon1,lat2,lon2
France,Switzerland,46.227638,2.213749,46.818188,8.227512
United Kingdom,Switzerland,55.378051,-3.435973,46.818188,8.227512
Switzerland,Spain,46.818188,8.227512,40.463667,-3.74922
Cyprus,Switzerland,35.126413,33.429859,46.818188,8.227512
Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
Egypt,Switzerland,26.820553,30.802498,46.818188,8.227512
Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
Switzerland,Italy,46.818188,8.227512,41.87194,12.56738
Switzerland,France,46.818188,8.227512,46.227638,2.213749
Switzerland,United Kingdom,46.818188,8.227512,55.378051,-3.435973
Switzerland,Cyprus,46.818188,8.227512,35.126413,33.429859
Switzerland,Spain,46.818188,8.227512,40.463667,-3.74922
Switzerland,Egypt,46.818188,8.227512,26.820553,30.802498
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Finland,60.128161,18.643501,61.92411,25.748151
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Finland,60.128161,18.643501,61.92411,25.748151
Sweden,Norway,60.128161,18.643501,60.472024,8.468946
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Finland,Finland,61.92411,25.748151,61.92411,25.748151
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Finland,Sweden,61.92411,25.748151,60.128161,18.643501
Finland,Finland,61.92411,25.748151,61.92411,25.748151
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Norway,Sweden,60.472024,8.468946,60.128161,18.643501
Finland,Sweden,61.92411,25.748151,60.128161,18.643501
Finland,Finland,61.92411,25.748151,61.92411,25.748151
Finland,Finland,61.92411,25.748151,61.92411,25.748151
Norway,Sweden,60.472024,8.468946,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
Sweden,Norway,60.128161,18.643501,60.472024,8.468946
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
